,theater,url
0,ambassador,https://www.todaytix.com/booking/seating-plan?product_id=22&content_product_id=22&venue_id=703&product_type=show&qt=2&showtime_id=2097924&slot=19:00&date=2025-04-22
1,beaumont,https://www.todaytix.com/booking/seating-plan?product_id=41242&content_product_id=41242&venue_id=8576&product_type=show&qt=2&showtime_id=2182512&slot=14:00&date=2025-04-23
2,belasco,https://www.todaytix.com/booking/seating-plan?product_id=41018&content_product_id=41018&venue_id=709&product_type=show&qt=2&showtime_id=2125059&slot=19:00&date=2025-04-22
3,booth,https://www.todaytix.com/booking/seating-plan?product_id=43024&content_product_id=43024&venue_id=716&product_type=show&qt=2&showtime_id=2178377&slot=19:00&date=2025-04-22
4,broadhurst,https://www.todaytix.com/booking/seating-plan?product_id=39187&content_product_id=39187&venue_id=713&product_type=show&qt=2&showtime_id=2182285&slot=19:00&date=2025-04-22
5,broadway,https://www.todaytix.com/booking/seating-plan?product_id=38749&content_product_id=38749&venue_id=720&product_type=show&qt=2&showtime_id=2142361&slot=19:00&date=2025-04-23
6,friedman,https://www.todaytix.com/booking/seating-plan?product_id=40572&content_product_id=40572&venue_id=738&product_type=show&qt=2&showtime_id=2150077&slot=19:00&date=2025-04-22
7,gershwin,https://www.todaytix.com/booking/seating-plan?product_id=1&content_product_id=1&venue_id=728&product_type=show&qt=2&showtime_id=2107347&slot=19:00&date=2025-04-22
8,golden,https://www.todaytix.com/booking/seating-plan?product_id=42735&content_product_id=42735&venue_id=701&product_type=show&qt=2&showtime_id=2166627&slot=19:00&date=2025-04-29
9,haimes,https://www.todaytix.com/booking/seating-plan?product_id=38596&content_product_id=38596&venue_id=708&product_type=show&qt=2&showtime_id=2046709&slot=20:00&date=2025-04-22
10,hayes,https://www.todaytix.com/booking/seating-plan?product_id=38461&content_product_id=38461&venue_id=731&product_type=show&qt=2&showtime_id=2149894&slot=19:00&date=2025-04-22
11,hirschfeld,https://www.todaytix.com/booking/seating-plan?product_id=15911&content_product_id=15911&venue_id=710&product_type=show&qt=2&showtime_id=2050935&slot=19:00&date=2025-04-22
12,horne,https://www.todaytix.com/booking/seating-plan?product_id=20737&content_product_id=20737&venue_id=721&product_type=show&qt=2&showtime_id=2146379&slot=19:00&date=2025-04-23
13,hudson,https://www.todaytix.com/booking/seating-plan?product_id=41345&content_product_id=41345&venue_id=916&product_type=show&qt=2&showtime_id=2159403&slot=19:00&date=2025-04-22
14,imperial,https://www.todaytix.com/booking/seating-plan?product_id=24261&content_product_id=24261&venue_id=705&product_type=show&qt=2&showtime_id=2167172&slot=19:00&date=2025-04-22
15,jacobs,https://www.todaytix.com/booking/seating-plan?product_id=34093&content_product_id=34093&venue_id=715&product_type=show&qt=2&showtime_id=2080916&slot=19:00&date=2025-04-22
